N°;Pedido;Fecha;Cliente;Segemento;Ventas [unid];Ventas [$]
1;225348;17/3/2021;30;Segmento 8;;47,05
2;966601;6/12/2021;22;Segmento 3;;674,93
3;241199;19/2/2021;9;Segmento 3;;326,04
4;593262;3/11/2021;12;Segmento 7;;392,91
5;272268;25/12/2021;26;Segmento 8;6;252,83
6;248856;3/7/2021;14;Segmento 3;5;73,16
7;993078;14/3/2021;28;Segmento 3;9;753,49
8;891180;4/8/2021;18;Segmento 5;7;697,64
9;612084;7/12/2021;28;Segmento 2;1;94,28
10;454197;3/6/2021;9;Segmento 6;4;235,56
11;965531;10/10/2021;13;Segmento 2;3;106,89
12;159433;10/11/2021;29;Segmento 4;8;169,39
13;143575;6/8/2021;4;Segmento 1;5;18,12
14;518638;27/4/2021;18;Segmento 8;5;486,05
15;75858;3/3/2021;20;Segmento 2;2;86,25
16;983286;10/11/2021;34;Segmento 3;3;122,56
17;742806;28/8/2021;33;Segmento 5;7;596,82
18;419718;5/3/2021;31;Segmento 6;4;265,78
19;68991;15/7/2021;19;Segmento 8;8;70,57
20;757909;11/2/2021;31;Segmento 2;10;34,3
21;891818;22/11/2021;1;Segmento 6;4;233,61
22;122684;13/4/2021;29;Segmento 1;5;239,84
23;434810;16/8/2021;23;Segmento 4;10;830,04
24;48168;18/3/2021;27;Segmento 3;0;0
25;489876;5/9/2021;15;Segmento 8;7;573,73
26;651900;23/4/2021;27;Segmento 1;7;410,33
27;913694;15/11/2021;24;Segmento 6;7;274,79
28;109729;7/11/2021;19;Segmento 8;4;337,24
29;121256;28/7/2021;34;Segmento 3;2;35,17
30;473481;6/2/2021;7;Segmento 7;9;363,13
31;918934;12/7/2021;28;Segmento 4;4;224,7
32;359491;9/7/2021;7;Segmento 6;8;741,74
33;984551;24/6/2021;7;Segmento 1;10;181,32
34;871983;9/7/2021;2;Segmento 6;0;0
35;379886;18/12/2021;5;Segmento 7;9;115,16
36;166608;12/12/2021;15;Segmento 3;6;332,74
37;494982;20/6/2021;13;Segmento 2;2;38,44
38;264664;19/9/2021;33;Segmento 6;6;4,39
39;796517;14/9/2021;7;Segmento 5;7;517,05
40;501779;7/4/2021;20;Segmento 5;9;104,25
41;434126;3/10/2021;29;Segmento 7;10;104,16
42;13806;19/1/2021;4;Segmento 8;3;270,34
43;513461;6/6/2021;27;Segmento 8;5;72,07
44;783005;27/11/2021;35;Segmento 5;9;242,9
45;627152;20/4/2021;20;Segmento 5;1;88,22
46;712236;27/1/2021;14;Segmento 1;7;409,56
47;51291;30/10/2021;16;Segmento 4;9;317,55
48;744763;12/3/2021;27;Segmento 4;7;559,74
49;698556;8/2/2021;31;Segmento 2;8;6,46
50;439755;4/4/2021;21;Segmento 6;10;744,96
51;287001;7/7/2021;2;Segmento 4;10;687,57
52;290803;18/11/2021;20;Segmento 1;3;181,76
53;486168;30/3/2021;1;Segmento 8;3;235,78
54;614073;21/9/2021;22;Segmento 8;3;89,51
55;952597;29/1/2021;8;Segmento 3;8;92,3
