No;edad;sexo;v1;v2;v3;v4;v5;v6;v7;v8;v9;v10;v11;v12;v13;v14;v15;v16;v17;v18;v19;v20;v21;v22;v23;v24;v25;v26;v27;v28;v29;v30;v31;FDMQTOTAL
1.0;21.0;1.0;2.0;2.0;4.0;2.0;1.0;2.0;3.0;2.0;3.0;2.0;2.0;4.0;2.0;4.0;2.0;2.0;2.0;2.0;3.0;2.0;2.0;2.0;3.0;4.0;3.0;3.0;3.0;2.0;3.0;3.0;4.0;80.0
2.0;23.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;1.0;3.0;2.0;1.0;2.0;1.0;2.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0;1.0;4.0;2.0;1.0;1.0;50.0
3.0;20.0;1.0;2.0;1.0;4.0;2.0;2.0;3.0;3.0;1.0;3.0;2.0;4.0;3.0;2.0;3.0;2.0;4.0;3.0;2.0;1.0;2.0;2.0;3.0;1.0;4.0;3.0;3.0;2.0;2.0;3.0;4.0;3.0;79.0
4.0;21.0;1.0;2.0;3.0;1.0;2.0;1.0;2.0;1.0;1.0;1.0;2.0;3.0;3.0;2.0;4.0;1.0;2.0;1.0;4.0;4.0;1.0;1.0;1.0;1.0;4.0;2.0;4.0;1.0;3.0;2.0;1.0;1.0;62.0
5.0;21.0;1.0;2.0;3.0;3.0;3.0;1.0;2.0;4.0;2.0;3.0;1.0;4.0;3.0;2.0;3.0;2.0;4.0;2.0;2.0;4.0;2.0;4.0;2.0;3.0;4.0;3.0;4.0;2.0;2.0;3.0;2.0;2.0;83.0
6.0;23.0;1.0;2.0;2.0;2.0;3.0;2.0;2.0;3.0;1.0;2.0;1.0;3.0;2.0;2.0;4.0;2.0;3.0;3.0;1.0;3.0;1.0;1.0;1.0;1.0;3.0;4.0;4.0;2.0;2.0;3.0;1.0;2.0;68.0
7.0;25.0;1.0;1.0;1.0;4.0;1.0;1.0;1.0;4.0;1.0;1.0;1.0;4.0;4.0;1.0;4.0;1.0;2.0;1.0;1.0;4.0;1.0;1.0;1.0;1.0;4.0;2.0;1.0;1.0;1.0;1.0;1.0;1.0;54.0
8.0;20.0;2.0;2.0;2.0;3.0;1.0;1.0;1.0;2.0;1.0;2.0;1.0;4.0;2.0;2.0;3.0;1.0;1.0;1.0;1.0;4.0;1.0;1.0;1.0;2.0;4.0;4.0;3.0;1.0;1.0;1.0;1.0;2.0;57.0
9.0;22.0;2.0;1.0;1.0;3.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;4.0;1.0;2.0;4.0;1.0;1.0;1.0;1.0;4.0;1.0;2.0;1.0;1.0;4.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;50.0
10.0;22.0;2.0;2.0;1.0;3.0;1.0;1.0;1.0;4.0;1.0;1.0;1.0;3.0;1.0;1.0;4.0;1.0;2.0;1.0;2.0;4.0;1.0;2.0;1.0;2.0;4.0;1.0;1.0;2.0;1.0;1.0;1.0;3.0;55.0
11.0;26.0;2.0;2.0;2.0;3.0;2.0;2.0;2.0;2.0;1.0;1.0;2.0;3.0;3.0;1.0;4.0;2.0;1.0;2.0;2.0;3.0;1.0;2.0;2.0;2.0;3.0;3.0;1.0;1.0;2.0;3.0;2.0;2.0;64.0
